--- Call started: 2025-10-05T22:26:39.003Z ---
Call ID: CA103e59a2720229134a97809bc5bad10c
Phone: unknown
---

[2025-10-05T22:26:47.829Z] Event: media
[2025-10-05T22:26:47.849Z] Event: media
[2025-10-05T22:26:47.869Z] Event: media
[2025-10-05T22:26:47.889Z] Event: media
[2025-10-05T22:26:47.909Z] Event: media
[2025-10-05T22:26:47.931Z] Event: media
[2025-10-05T22:26:47.952Z] Event: media
[2025-10-05T22:26:47.969Z] Event: media
[2025-10-05T22:26:47.990Z] Event: media
[2025-10-05T22:26:48.009Z] Event: media
[2025-10-05T22:26:48.032Z] Event: media
[2025-10-05T22:26:48.049Z] Event: media
[2025-10-05T22:26:48.069Z] Event: media
[2025-10-05T22:26:48.089Z] Event: media
[2025-10-05T22:26:48.110Z] Event: media
[2025-10-05T22:26:48.129Z] Event: media
[2025-10-05T22:26:48.149Z] Event: media
[2025-10-05T22:26:48.169Z] Event: media
[2025-10-05T22:26:48.189Z] Event: media
[2025-10-05T22:26:48.209Z] Event: media
[2025-10-05T22:26:48.229Z] Event: media
[2025-10-05T22:26:48.249Z] Event: media
[2025-10-05T22:26:48.269Z] Event: media
[2025-10-05T22:26:48.289Z] Event: media
[2025-10-05T22:26:48.309Z] Event: media
[2025-10-05T22:26:48.329Z] Event: media
[2025-10-05T22:26:48.349Z] Event: media
[2025-10-05T22:26:48.369Z] Event: media
[2025-10-05T22:26:48.390Z] Event: media
[2025-10-05T22:26:48.411Z] Event: media
[2025-10-05T22:26:48.431Z] Event: media
[2025-10-05T22:26:48.450Z] Event: media
[2025-10-05T22:26:48.469Z] Event: media
[2025-10-05T22:26:48.490Z] Event: media
[2025-10-05T22:26:48.509Z] Event: media
[2025-10-05T22:26:48.529Z] Event: media
[2025-10-05T22:26:48.549Z] Event: media
[2025-10-05T22:26:48.569Z] Event: media
[2025-10-05T22:26:48.589Z] Event: media
[2025-10-05T22:26:48.610Z] Event: media
[2025-10-05T22:26:48.629Z] Event: media
[2025-10-05T22:26:48.649Z] Event: media
[2025-10-05T22:26:48.671Z] Event: media
[2025-10-05T22:26:48.690Z] Event: media
[2025-10-05T22:26:48.709Z] Event: media
[2025-10-05T22:26:48.729Z] Event: media
[2025-10-05T22:26:48.749Z] Event: media
[2025-10-05T22:26:48.769Z] Event: media
[2025-10-05T22:26:48.789Z] Event: media
[2025-10-05T22:26:48.809Z] Event: media
[2025-10-05T22:26:48.829Z] Event: media
[2025-10-05T22:26:48.849Z] Event: media
[2025-10-05T22:26:48.869Z] Event: media
[2025-10-05T22:26:48.894Z] Event: media
[2025-10-05T22:26:48.913Z] Event: media
[2025-10-05T22:26:48.929Z] Event: media
[2025-10-05T22:26:48.949Z] Event: media
[2025-10-05T22:26:48.969Z] Event: media
[2025-10-05T22:26:48.989Z] Event: media
[2025-10-05T22:26:49.010Z] Event: media
[2025-10-05T22:26:49.029Z] Event: media
[2025-10-05T22:26:49.049Z] Event: media
[2025-10-05T22:26:49.069Z] Event: media
[2025-10-05T22:26:49.090Z] Event: media
[2025-10-05T22:26:49.109Z] Event: media
[2025-10-05T22:26:49.129Z] Event: media
[2025-10-05T22:26:49.149Z] Event: media
[2025-10-05T22:26:49.172Z] Event: media
[2025-10-05T22:26:49.189Z] Event: media
[2025-10-05T22:26:49.212Z] Event: media
[2025-10-05T22:26:49.230Z] Event: media
[2025-10-05T22:26:49.249Z] Event: media
[2025-10-05T22:26:49.269Z] Event: media
[2025-10-05T22:26:49.289Z] Event: media
[2025-10-05T22:26:49.309Z] Event: media
[2025-10-05T22:26:49.330Z] Event: media
[2025-10-05T22:26:49.349Z] Event: media
[2025-10-05T22:26:49.369Z] Event: media
[2025-10-05T22:26:49.389Z] Event: media
[2025-10-05T22:26:49.409Z] Event: media
[2025-10-05T22:26:49.430Z] Event: media
[2025-10-05T22:26:49.449Z] Event: media
[2025-10-05T22:26:49.471Z] Event: media
[2025-10-05T22:26:49.489Z] Event: media
[2025-10-05T22:26:49.510Z] Event: media
[2025-10-05T22:26:49.529Z] Event: media
[2025-10-05T22:26:49.549Z] Event: media
[2025-10-05T22:26:49.569Z] Event: media
[2025-10-05T22:26:49.589Z] Event: media
[2025-10-05T22:26:49.609Z] Event: media
[2025-10-05T22:26:49.629Z] Event: media
[2025-10-05T22:26:49.650Z] Event: media
[2025-10-05T22:26:49.669Z] Event: media
[2025-10-05T22:26:49.689Z] Event: media
[2025-10-05T22:26:49.709Z] Event: media
[2025-10-05T22:26:49.731Z] Event: media
[2025-10-05T22:26:49.749Z] Event: media
[2025-10-05T22:26:49.769Z] Event: media
[2025-10-05T22:26:49.789Z] Event: media
[2025-10-05T22:26:49.809Z] Event: media
[2025-10-05T22:26:49.829Z] Event: media
[2025-10-05T22:26:49.849Z] Event: media
[2025-10-05T22:26:49.869Z] Event: media
[2025-10-05T22:26:49.889Z] Event: media
[2025-10-05T22:26:49.909Z] Event: media
[2025-10-05T22:26:49.929Z] Event: media
[2025-10-05T22:26:49.949Z] Event: media
[2025-10-05T22:26:49.969Z] Event: media
[2025-10-05T22:26:49.989Z] Event: media
[2025-10-05T22:26:50.009Z] Event: media
[2025-10-05T22:26:50.029Z] Event: media
[2025-10-05T22:26:50.051Z] Event: media
[2025-10-05T22:26:50.069Z] Event: media
[2025-10-05T22:26:50.089Z] Event: media
[2025-10-05T22:26:50.109Z] Event: media
[2025-10-05T22:26:50.129Z] Event: media
[2025-10-05T22:26:50.149Z] Event: media
[2025-10-05T22:26:50.169Z] Event: media
[2025-10-05T22:26:50.189Z] Event: media
[2025-10-05T22:26:50.209Z] Event: media
[2025-10-05T22:26:50.232Z] Event: media
[2025-10-05T22:26:50.249Z] Event: media
[2025-10-05T22:26:50.269Z] Event: media
[2025-10-05T22:26:50.289Z] Event: media
[2025-10-05T22:26:50.309Z] Event: media
[2025-10-05T22:26:50.329Z] Event: media
[2025-10-05T22:26:50.349Z] Event: media
[2025-10-05T22:26:50.369Z] Event: media
[2025-10-05T22:26:50.389Z] Event: media
[2025-10-05T22:26:50.409Z] Event: media
[2025-10-05T22:26:50.431Z] Event: media
